ano,sigla_uf,numero_consumidores,consumo,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao,IBGE_POP,GDP,GDP_CAPITA,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,MUN_EXPENDIT
2009,PB,14367671.0,3714493,0.7415,0.736,0.8220000000000001,0.6735,1051080.0,27089966.05,21940.32,37654.68,4820258.77,13627000.44,1728973.21,2458259473.0
2009,PE,34902850.0,10088606,0.6885,0.688,0.799,0.59,496037.0,5801049.35,17520.275,91539.90999999999,1340339.07,6068219.7,2391875.83,1122487933.0
2009,PI,10427341.0,1903228,0.75,0.731,0.82,0.707,762444.0,19149955.47,22597.68,46702.48,2851896.72,10183047.44,3450.95,2324727933.0
2009,PR,44256521.0,23903892,0.7793333333333333,0.781,0.8489999999999999,0.7136666666666667,1063389.0,47978362.45,41366.37333333333,334428.22000000003,7126286.67,24393653.61,5319335.04,3210310954.0
2009,RJ,76526101.0,33310868,0.764,0.792,0.828,0.681,198404.0,17580176.08,73412.55,51244.76,4735683.91,7232381.67,2784801.34,1681032334.0
2009,RN,12509248.0,4127279,0.72,0.694,0.811,0.663,234870.0,5755476.76,19714.79,139.36,933.66,2784896.84,1225065.06,450413704.0
2009,RS,46442092.0,24444234,0.7686666666666667,0.7883333333333334,0.8506666666666667,0.6776666666666666,915605.0,35687322.29,30411.036666666667,452409.69,900715.47,13965356.35,4756594.94,2741467309.0
2009,SC,27149312.0,17180143,0.803,0.7953333333333333,0.8846666666666666,0.7326666666666667,912462.0,40621039.0,42917.723333333335,362291.43,12799378.06,22691775.880000003,5019570.4399999995,2958644888.0
2009,SP,180835146.0,118182361,0.8012857142857143,0.8077142857142857,0.8521428571428571,0.7458571428571429,13530651.0,806069618.8100001,47205.75285714286,401241.75999999995,101915207.2,555690674.71,55221245.53,57674287224.0
2010,AL,10294942.0,4005367,0.721,0.739,0.799,0.635,867156.0,21306115.95,20853.41,164315.02,2922193.9,12006071.98,3278101.63,1795129013.0
2010,BA,57593303.0,21541106,0.7263333333333333,0.7256666666666667,0.8206666666666665,0.647,2624898.0,78069608.12,19787.366666666665,138925.95,10963732.55,39511247.87,10197889.8,6538658448.0
2010,CE,33642489.0,8876027,0.69,0.644,0.81,0.642,239172.0,4185791.73,15604.19,16226.81,446.85,2500749.36,783278.24,409356006.0
2010,GO,27527301.0,10905277,0.799,0.824,0.838,0.739,1291199.0,46659222.76,32209.01,36.55,6516.72,28379914.23,5524725.22,3766766105.0
2010,MA,21207467.0,11613215,0.768,0.741,0.813,0.752,942449.0,28323.36,26154.25,21.97,5531.0,14332677.0,3297957.23,2105900000.0
2010,MG,89628426.0,51312857,0.777,0.7625,0.87,0.707,704662.0,4227878.95,38290.595,839326.78,6923605.97,17223591.44,3292246.59,1997329852.0
2010,MS,10162809.0,4017307,0.784,0.79,0.844,0.724,765394.0,25437928.17,29442.66,308918.14,3792765.5,12943148.62,4895738.82,2662884470.0
2010,PB,14946645.0,4181053,0.7415,0.736,0.8220000000000001,0.6735,1051080.0,27089966.05,21940.32,37654.68,4820258.77,13627000.44,1728973.21,2458259473.0
2010,PE,36541994.0,10936333,0.6885,0.688,0.799,0.59,496037.0,5801049.35,17520.275,91539.90999999999,1340339.07,6068219.7,2391875.83,1122487933.0
2010,PI,11108590.0,2225664,0.75,0.731,0.82,0.707,762444.0,19149955.47,22597.68,46702.48,2851896.72,10183047.44,3450.95,2324727933.0
